ticker,sector,signal_type,current_price,entry_price,target_price,stop_loss,volume_ratio,rsi,momentum,position_size,risk_per_share,filter_value,h_band,l_band,filter_direction,rng_per,rng_qty,timestamp,ist_time,bars_in_session
BEL,Aerospace & Defence,HOLD,375.75,375.75,375.75,375.75,0.28846215352440474,30.33713258994088,-0.132890365448505,0,0.0,376.5157342072283,377.53829021979396,375.4931781946627,DOWN,20,3.5,10:17:30,14:47:30,67
CHAMBLFERT,Industrials,HOLD,563.75,563.75,563.75,563.75,5.76856032374699,50.0,0.3113879003558719,0,0.0,562.0465369794542,564.0432529828648,560.0498209760436,UP,20,3.5,10:17:30,14:47:30,67
EXIDEIND,Auto,HOLD,398.6499938964844,398.6499938964844,398.6499938964844,398.6499938964844,0.20970929545109035,53.22576675641486,0.16331504936793342,0,0.0,397.9009328831294,399.0011705027623,396.80069526349655,DOWN,20,3.5,10:17:30,14:47:30,67
BAJFINANCE,Finance,HOLD,893.0999755859375,893.0999755859375,893.0999755859375,893.0999755859375,0.4727138612734674,23.42383953020355,-0.1062594060737508,0,0.0,894.6607182237734,896.2861453850322,893.0352910625146,DOWN,20,3.5,10:17:30,14:47:30,67
ABB,FMCG,HOLD,5085.5,5085.5,5085.5,5085.5,0.279710179813687,43.36283185840708,0.21677012513548136,0,0.0,5082.428368583539,5094.735651494327,5070.121085672751,DOWN,20,3.5,10:17:30,14:47:30,67
CESC,Miscellaneous,HOLD,166.88999938964844,166.88999938964844,166.88999938964844,166.88999938964844,0.5804356277236936,45.25996024302153,0.011987938542749483,0,0.0,166.60223637192934,167.2472897685025,165.95718297535618,UP,20,3.5,10:17:30,14:47:30,67
BLUESTARCO,FMCG,HOLD,1927.5,1927.5,1927.5,1927.5,0.47921578647835633,38.88878841858741,-0.34124273146418044,0,0.0,1927.578770448275,1936.08966598229,1919.06787491426,UP,20,3.5,10:17:30,14:47:30,67
CIPLA,Pharmaceuticals,HOLD,1592.699951171875,1592.699951171875,1592.699951171875,1592.699951171875,0.6860867146206732,52.873579346148446,-0.018835456881669804,0,0.0,1592.9643398605815,1595.7723044007216,1590.1563753204414,DOWN,20,3.5,10:17:31,14:47:31,67
LAURUSLABS,Pharmaceuticals,HOLD,879.9000244140625,879.9000244140625,879.9000244140625,879.9000244140625,0.6052788875955579,34.30278771362063,0.045483162485787376,0,0.0,882.0306032884528,884.7903501915952,879.2708563853104,DOWN,20,3.5,10:17:31,14:47:31,67
DABUR,FMCG,HOLD,517.3499755859375,517.3499755859375,517.3499755859375,517.3499755859375,0.4068495167067367,32.46722364019722,-0.26027310378294405,0,0.0,517.4485218332218,518.6570519805621,516.2399916858815,UP,20,3.5,10:17:31,14:47:31,67
BHEL,FMCG,HOLD,219.24000549316406,219.24000549316406,219.24000549316406,219.24000549316406,1.073585460677713,73.35029607339678,0.10502305469942638,0,0.0,218.441987824513,219.24000549316406,217.64397015586195,UP,20,3.5,10:17:31,14:47:31,67
CGPOWER,FMCG,HOLD,679.2000122070312,679.2000122070312,679.2000122070312,679.2000122070312,0.7089187975503245,64.28599738417026,0.2657200661493485,0,0.0,677.8065226630727,679.9894914252887,675.6235539008566,UP,20,3.5,10:17:31,14:47:31,67
SAIL,Metals,HOLD,121.70999908447266,121.70999908447266,121.70999908447266,121.70999908447266,0.5175985840848886,31.250819535338366,-0.16405920074537886,0,0.0,121.8951419457421,122.11487170692938,121.67541218455482,DOWN,20,3.5,10:17:31,14:47:31,67
HINDPETRO,Industrials,HOLD,391.04998779296875,391.04998779296875,391.04998779296875,391.04998779296875,0.09972858182045725,64.51657363379505,0.1408419444222151,0,0.0,390.81823893544095,391.8128013293098,389.82367654157207,UP,20,3.5,10:17:31,14:47:31,67
SBIN,Bank,HOLD,816.5,816.5,816.5,816.5,0.32674779154839856,20.408798764386432,-0.07954774455628268,0,0.0,817.3553414131611,818.5751800975135,816.1355027288088,DOWN,20,3.5,10:17:31,14:47:31,67
