ticker,sector,signal_type,signal_strength,long_score,short_score,current_price,entry_price,target_price,stop_loss,volume_ratio,rsi,trend_direction,supertrend_direction,macd_line,macd_signal,macd_histogram,wave_trend_wt1,wave_trend_wt2,stochastic_k,stochastic_d,hma_value,ema200_value,supertrend_value,psar_value,upper_bb,lower_bb,rvi_value,cmf_value,vwap_value,bars_analyzed,timestamp,position_series
LAURUSLABS,Pharmaceuticals,HOLD,NONE,3,7,877.4500122070312,877.4500122070312,877.4500122070312,877.4500122070312,2.25929798486053,29.112182013952477,BEARISH,BEAR,-1.0002220304741058,-0.9708117550630113,-0.029410275411094533,-63.655933639758075,-51.316316793993,28.42227236976632,31.39844495491847,879.7782397259672,881.1054970313419,881.5806509218579,880.0,881.9027526227483,877.8772461565486,34.19675184019944,0.2232155676426567,877.5999959309896,1650,16:22:45,1
BAJFINANCE,Finance,HOLD,NONE,4,5,895.0499877929688,895.0499877929688,895.0499877929688,895.0499877929688,1.6033784972725673,52.34847270082535,BEARISH,BEAR,-0.25889995505508523,-0.5222396605723796,0.26333970551729435,27.217898639902568,0.010222329737004543,66.55765983213676,61.476308129646874,893.916890486636,895.0899465717998,896.2943814959577,892.9365383827851,895.8636652829227,892.7163334963741,51.84887081475055,0.10340849017920263,895.6833292643229,1650,16:22:45,1
ABB,FMCG,HOLD,NONE,7,3,5066.5,5066.5,5066.5,5066.5,2.0573002032387073,38.81653372653474,BEARISH,BEAR,-8.340334973390782,-7.095420364848973,-1.2449146085418086,-67.0865938710391,-68.40063387478264,17.454126921038647,9.074122596904603,5073.581513421931,5108.18919679594,5081.367971919549,5083.834458480001,5102.572137649425,5054.077862350575,44.15440942889891,-0.07800325089696826,5062.666666666667,1650,16:22:46,1
BEL,Aerospace & Defence,HOLD,NONE,9,3,375.5,375.5,375.5,375.5,1.8266799066677755,44.0692773378503,BEARISH,BEAR,-0.6060617653718623,-0.5916199248803453,-0.014441840491516977,-60.81225846479406,-68.03611913939997,30.232360080055646,18.84089439937757,376.30108690604817,376.87748157247034,376.21236304091116,375.94472853553714,377.04523828408196,374.43975927451174,48.3279632173686,0.02304917025889304,375.1666666666667,1650,16:22:46,-1
BLUESTARCO,FMCG,HOLD,NONE,6,1,1920.0,1920.0,1920.0,1920.0,1.1855225770749305,44.450309816137256,BULLISH,BEAR,-0.5698880554796233,1.0806538547172524,-1.6505419101968757,-53.2264887476213,-54.76428701957016,29.733870520968836,20.94361049117281,1928.3572848007484,1914.3495438927366,1929.7827223706454,1926.943334502135,1938.0912560102993,1916.0087317826697,42.44699309002272,0.16219587225942525,1919.3666585286458,1650,16:22:48,-1
CESC,Miscellaneous,HOLD,NONE,4,4,166.80999755859375,166.80999755859375,166.80999755859375,166.80999755859375,1.0544609725302743,51.487031092132064,BULLISH,BEAR,0.03712845368929152,0.05947603152057852,-0.022347577831287005,-10.053667133311315,1.5119723422166134,54.66312586088244,58.424466969287515,167.3135531339931,165.3671045371933,167.63313862595382,166.14329471015665,167.31338928733564,166.2996096750667,65.00753046174883,0.04373772878230692,166.7300008138021,1650,16:22:48,-1
EXIDEIND,Auto,HOLD,NONE,0,3,394.3500061035156,394.3500061035156,394.3500061035156,394.3500061035156,3.317842739491316,26.00284414643275,BEARISH,BEAR,-0.723689661586775,-0.3237670046537149,-0.39992265693306006,-66.05022885019535,-52.785136431584164,3.7012630389965033,7.781303843640693,398.205022062751,395.53581396885016,397.58555557597,398.3039132253631,400.2550947649677,394.92490706608703,21.410229961441825,-0.24094842658268387,394.7333272298177,1650,16:22:49,1
CHAMBLFERT,Industrials,HOLD,NONE,2,2,561.0,561.0,561.0,561.0,1.3962395353028232,45.11044918242776,BULLISH,BULL,-0.23071499904381199,-0.11158731144555584,-0.11912768759825615,-33.744102775392754,-26.97344910729135,26.587030551397756,27.24840429053297,563.2486844271571,559.0895911237711,558.8090420486153,567.2610241699218,564.152562014646,559.6924392060571,39.484791313897716,-0.09073434972531431,561.0333455403646,1650,16:22:49,1
CGPOWER,FMCG,HOLD,NONE,5,0,680.0,680.0,680.0,680.0,0.8516510757018652,54.831207348600046,BULLISH,BULL,0.6082965347898153,0.5528926664255481,0.05540386836426714,29.397395898849318,42.16570943956934,46.610321450492755,46.53063036155336,677.2641441839569,677.8239530922731,676.6409495499227,682.3039795166015,682.1510119724929,675.4289868068039,60.96990422272768,0.044270708914314824,679.5666707356771,1650,16:22:50,1
CIPLA,Pharmaceuticals,HOLD,NONE,2,4,1592.4000244140625,1592.4000244140625,1592.4000244140625,1592.4000244140625,1.1156841418316292,47.69838105501627,BULLISH,BEAR,-0.06966706240905296,-0.06930273875321726,-0.0003643236558357049,-4.114522585651447,7.2892287132097415,47.92102812209824,53.362312558048735,1593.912553870716,1578.0378721865468,1595.260060296568,1590.264878346352,1594.5841012275857,1590.475896331008,59.82689266951429,-0.0441854378764237,1592.3333333333333,1650,16:22:51,1
