ticker,sector,signal_type,signal_strength,long_score,short_score,current_price,entry_price,target_price,stop_loss,volume_ratio,rsi,position_size,risk_per_share,ema200,supertrend,vwap,hma,ema_trend,supertrend_signal,rsi_divergence,timestamp,ist_time,bars_in_session
CHAMBLFERT,Industrials,HOLD,WEAK,3,0,561.3499755859375,561.3499755859375,561.3499755859375,561.3499755859375,0.983892599971353,47.92434404481132,0,0.0,559.8149617222357,555.2300170898437,554.1243485555395,563.2524151282372,BULLISH,NONE,NONE,10:58:25,15:28:25,375
EXIDEIND,Auto,HOLD,WEAK,3,2,395.6499938964844,395.6499938964844,395.6499938964844,395.6499938964844,2.331930358308897,33.53653544127607,0,0.0,396.0446176502875,392.63500061035154,386.39066952563064,398.2188797889993,BEARISH,NONE,NONE,10:58:26,15:28:26,375
ABB,FMCG,HOLD,WEAK,4,4,5058.5,5058.5,5058.5,5058.5,0.987314687452239,35.76158940397352,0,0.0,5109.311894483697,5083.65,5097.368815440852,5073.496234305784,BEARISH,NONE,BULLISH,10:58:26,15:28:26,375
BEL,Aerospace & Defence,HOLD,WEAK,5,3,374.70001220703125,374.70001220703125,374.70001220703125,374.70001220703125,1.2262497675509165,36.25009536888685,0,0.0,376.68418418230135,373.23999938964846,377.4693377948871,376.29255912455903,BEARISH,NONE,NONE,10:58:26,15:28:26,375
BAJFINANCE,Finance,HOLD,WEAK,0,3,895.9000244140625,895.9000244140625,895.9000244140625,895.9000244140625,1.2020718195658746,64.40637639781109,0,0.0,895.9177000937182,892.2049621582031,900.8102392437265,893.9259517831034,BEARISH,NONE,NONE,10:58:26,15:28:26,375
LAURUSLABS,Pharmaceuticals,HOLD,WEAK,3,3,877.9500122070312,877.9500122070312,877.9500122070312,877.9500122070312,1.5948954023658295,25.3847526221396,0,0.0,881.7617051635282,881.7550048828125,877.0078054894615,879.7835696707265,BEARISH,NONE,NONE,10:58:27,15:28:27,375
CESC,Miscellaneous,HOLD,WEAK,4,2,166.66000366210938,166.66000366210938,166.66000366210938,166.66000366210938,0.8483310088921788,48.01441060303085,0,0.0,165.40263331014114,165.91400146484375,165.20085753501843,167.31195421562816,BULLISH,NONE,NONE,10:58:27,15:28:27,375
BLUESTARCO,FMCG,BUY,WEAK,8,1,1919.0,1919.0,2091.71,1861.4299999999998,0.8525662547518222,26.969770951704547,17,57.570000000000164,1917.8738331094205,1908.7599731445312,1923.0807219887377,1928.3466249112298,BULLISH,NONE,NONE,10:58:27,15:28:27,375
DABUR,FMCG,HOLD,WEAK,1,3,516.2000122070312,516.2000122070312,516.2000122070312,516.2000122070312,0.9464275781808225,29.82514375046847,0,0.0,520.7868122732284,513.9549743652344,524.7797802599414,517.3636749497173,BEARISH,NONE,NONE,10:58:27,15:28:27,375
CGPOWER,FMCG,HOLD,WEAK,3,4,678.8499755859375,678.8499755859375,678.8499755859375,678.8499755859375,0.44675798782754395,55.72751322751322,0,0.0,678.0761147284677,672.7900024414063,677.0268438999773,677.2518850507596,BULLISH,NONE,NONE,10:58:27,15:28:27,375
CIPLA,Pharmaceuticals,HOLD,WEAK,4,0,1593.199951171875,1593.199951171875,1593.199951171875,1593.199951171875,0.7491772887339561,53.21081395869731,0,0.0,1578.7897083848165,1586.1099487304687,1570.8859380221393,1593.9210810015772,BULLISH,NONE,NONE,10:58:27,15:28:27,375
BHEL,FMCG,HOLD,WEAK,0,3,218.19000244140625,218.19000244140625,218.19000244140625,218.19000244140625,0.9368963271490458,57.109074999457626,0,0.0,219.22122712610698,217.21000213623046,219.07127739957988,218.18216435136372,BEARISH,NONE,NONE,10:58:27,15:28:27,375
HINDPETRO,Industrials,SELL,WEAK,0,8,389.95001220703125,389.95001220703125,354.85451110839847,401.6485125732422,0.8450757724433685,41.892114813592876,85,11.698500366210965,391.8630065315613,388.5800048828125,391.181832935084,390.75401242698445,BEARISH,NONE,NONE,10:58:28,15:28:28,375
